workflow_type,task_category,task_instances,workflows_with_this_task
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_15,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_16,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_17,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_18,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_19,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_2,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_20,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_21,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_22,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_23,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_24,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_25,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_26,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_27,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_28,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_29,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_3,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_30,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_4,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_5,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_6,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_7,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_8,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_9,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_1,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_10,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_11,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_12,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_13,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_14,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_15,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_16,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_17,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_18,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_19,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_2,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_20,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_21,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_22,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_23,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_24,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_25,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_26,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_27,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_28,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_29,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_3,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_30,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_4,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_5,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_6,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_7,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_8,12,12
epigenomics,filtercontams_filtercontams_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_9,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_1,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_10,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_11,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_12,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_13,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_14,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_15,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_16,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_17,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_18,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_19,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_2,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_20,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_21,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_22,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_23,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_24,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_25,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_26,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_27,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_28,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_29,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_3,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_30,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_4,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_5,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_6,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_7,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_8,12,12
epigenomics,map_map_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_9,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_1,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_10,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_11,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_12,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_13,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_14,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_15,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_16,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_17,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_18,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_19,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_2,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_20,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_21,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_22,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_23,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_24,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_25,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_26,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_27,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_28,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_29,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_3,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_30,12,12
epigenomics,sol2sanger_sol2sanger_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_4,12,12
